Feature 0:
X = 795749.645481, Y = 2310631.636646
X = 795816.628079, Y = 2309719.790968
X = 796834.500922, Y = 2309318.503278
X = 798033.303094, Y = 2309826.775831
X = 798091.251887, Y = 2309428.772965
X = 799047.253008, Y = 2309648.736938
X = 799766.601493, Y = 2308883.821434
X = 799828.161439, Y = 2308641.441740
X = 800078.830609, Y = 2307780.217396
X = 799934.647362, Y = 2307310.958818
X = 800203.485945, Y = 2306855.864116
X = 800650.484186, Y = 2306748.903565
X = 800614.313849, Y = 2305929.879048
X = 800970.282558, Y = 2305936.269079
X = 801274.634263, Y = 2305630.619106
X = 801677.813408, Y = 2305840.776677
X = 802530.462775, Y = 2305808.803942
X = 803035.329729, Y = 2306372.538948
X = 803598.380538, Y = 2306179.825067
X = 804002.383159, Y = 2306342.714070
X = 806501.220344, Y = 2304264.422133
X = 807808.882998, Y = 2304396.594441
X = 808274.329745, Y = 2303985.785279
X = 809740.723832, Y = 2303789.591602
X = 810552.075767, Y = 2303249.946248
X = 811523.401513, Y = 2303004.155096
X = 812333.405377, Y = 2302200.757684
X = 812697.984663, Y = 2302092.555174
X = 812753.956447, Y = 2301478.064270
X = 813151.664247, Y = 2301641.051003
X = 814378.954004, Y = 2300642.590576
X = 814330.449509, Y = 2300174.953979
X = 814690.600743, Y = 2299627.030215
X = 815092.167387, Y = 2299925.415439
X = 815150.524585, Y = 2299527.420056
X = 814755.687702, Y = 2299208.868244
X = 814598.337558, Y = 2299117.988347
X = 814613.772188, Y = 2298293.045886
X = 815118.251805, Y = 2298194.263150
X = 814866.216805, Y = 2297722.813164
X = 815134.465024, Y = 2297328.747475
X = 814941.902530, Y = 2296398.447276
X = 814289.410150, Y = 2295561.026024
X = 814653.089314, Y = 2295168.731595
X = 814661.678209, Y = 2294708.928969
X = 813959.837265, Y = 2293782.679254
X = 813918.697610, Y = 2292916.107462
X = 813524.245028, Y = 2292908.768234
X = 812840.185029, Y = 2291015.662193
X = 811937.063401, Y = 2290288.728709
